X,Y,Z,formation,formationID
438204.61316,4779660.47926,4905.50764,base_AU,7
439164.22577,4779345.87661,4872.82005,base_AU,7
440123.73404,4779031.11936,4826.38489,base_AU,7
441083.12691,4778717.31881,4649.70232,base_AU,7
442043.18485,4778402.2598,4625.74288,base_AU,7
443002.36949,4778088.14995,4788.60228,base_AU,7
443962.20822,4777773.8927,4412.52974,base_AU,7
444921.18477,4777459.47358,4170.7413,base_AU,7
445880.80515,4777146.01811,4198.26503,base_AU,7
446840.33173,4776831.29654,4194.93492,base_AU,7
447798.99622,4776516.41349,4197.11267,base_AU,7
448758.30493,4776202.49372,4213.42985,base_AU,7
449717.50983,4775888.41916,4306.89204,base_AU,7
450676.61092,4775574.18981,4317.11924,base_AU,7
451636.36595,4775259.81185,4554.87442,base_AU,7
452595.25933,4774945.2728,4583.54457,base_AU,7
453554.04015,4774631.69027,4810.72139,base_AU,7
454513.47512,4774317.95878,4725.54656,base_AU,7
455472.05724,4774002.95528,4735.24895,base_AU,7
456431.28488,4773688.91388,4604.22414,base_AU,7
457389.65138,4773374.71202,4811.09898,base_AU,7
458348.664,4773061.47203,4753.47435,base_AU,7
459307.581,4772746.96575,4473.5224,base_AU,7
460266.38689,4772433.41576,4333.76237,base_AU,7
461225.09677,4772118.59949,4220.33213,base_AU,7
462183.69588,4771804.73952,4320.62161,base_AU,7
463142.19168,4771490.72458,4370.38466,base_AU,7
464100.58416,4771176.55465,4632.53615,base_AU,7
465058.86673,4770863.34105,4891.92387,base_AU,7
466017.0527,4770548.86117,4712.7506,base_AU,7
466975.88623,4770235.34186,4781.10721,base_AU,7
467933.86562,4769920.55193,4856.37545,base_AU,7
468892.49283,4769606.72233,4819.79254,base_AU,7
469851.01693,4769292.73753,4811.17448,base_AU,7
470808.67546,4768979.7051,4663.04762,base_AU,7
471766.99353,4768665.41003,4561.20087,base_AU,7
472725.20846,4768350.95978,4589.65534,base_AU,7
473683.31528,4768037.46564,4674.2157,base_AU,7
474641.31931,4767723.81633,5242.90409,base_AU,7
475599.22053,4767410.01184,5468.12338,base_AU,7
476557.01892,4767096.05218,5350.38606,base_AU,7
477515.47115,4766781.94023,5287.97882,base_AU,7
478473.05978,4766468.78143,5584.78737,base_AU,7
479430.54978,4766154.35615,6127.09684,base_AU,7
480388.68978,4765840.88954,6179.67409,base_AU,7
481345.97067,4765527.26514,6220.37959,base_AU,7
482303.90551,4765213.48787,6330.21965,base_AU,7
483261.73773,4764899.5552,6330.55035,base_AU,7
484218.70796,4764586.57644,6475.16466,base_AU,7
485176.33513,4764272.33312,6469.90837,base_AU,7
486133.85705,4763959.04575,6654.98877,base_AU,7
487091.27666,4763645.603,6872.50502,base_AU,7
488048.59397,4763332.00488,7156.77534,base_AU,7
489006.56514,4763018.25281,7378.10856,base_AU,7
489963.67776,4762704.34384,7276.94108,base_AU,7
490920.68803,4762390.27951,7361.84534,base_AU,7
491878.35049,4762077.17218,7156.86016,base_AU,7
492835.15484,4761763.90835,7016.19245,base_AU,7
485220.99585,4764257.99797,6105.18762,seds3_PA,6
486178.51303,4763944.70335,6400.34134,seds3_PA,6
487135.93035,4763630.14204,6402.27072,seds3_PA,6
488093.24274,4763316.53667,6406.88002,seds3_PA,6
489050.45282,4763002.77594,6410.16231,seds3_PA,6
490007.55869,4762689.97117,6308.00761,seds3_PA,6
490964.56427,4762375.89971,6384.96248,seds3_PA,6
491922.22205,4762062.78526,6438.65596,seds3_PA,6
492879.02306,4761748.40298,6476.86426,seds3_PA,6
493836.47652,4761434.97747,6457.27519,seds3_PA,6
364758.5148,4803720.9959,4366.3455,sea_AU,1
365721.86741,4803404.74955,4370.78194,sea_AU,1
366684.32637,4803089.44395,4392.52382,sea_AU,1
367647.43984,4802774.002,4401.0945,sea_AU,1
368610.44627,4802458.4066,4396.11975,sea_AU,1
369573.32139,4802143.76895,4398.273,sea_AU,1
370536.11392,4801827.86664,4399.27612,sea_AU,1
371499.56065,4801511.82726,4402.62554,sea_AU,1
372462.11527,4801196.72916,4406.886,sea_AU,1
373424.56317,4800881.47762,4412.15775,sea_AU,1
374387.66547,4800566.08866,4475.19452,sea_AU,1
375349.89986,4800250.53014,4489.22925,sea_AU,1
376312.78855,4799934.83397,4481.5763,sea_AU,1
377275.54753,4799620.09536,4456.56519,sea_AU,1
378238.20002,4799305.2031,4412.39684,sea_AU,1
379200.7685,4798989.04595,4448.02199,sea_AU,1
380163.20779,4798673.84639,4413.61305,sea_AU,1
381125.54054,4798358.49318,4407.11172,sea_AU,1
382087.74479,4798044.09755,4419.5486,sea_AU,1
383049.86465,4797728.43707,4421.95875,sea_AU,1
